Day,Cluster,is_medoid?
0.0,12.0,0.0
1.0,7.0,0.0
2.0,11.0,0.0
3.0,26.0,1.0
4.0,2.0,0.0
5.0,20.0,0.0
6.0,11.0,0.0
7.0,12.0,0.0
8.0,2.0,0.0
9.0,9.0,0.0
10.0,3.0,0.0
11.0,3.0,0.0
12.0,7.0,0.0
13.0,16.0,0.0
14.0,9.0,0.0
15.0,9.0,0.0
16.0,0.0,0.0
17.0,23.0,0.0
18.0,7.0,0.0
19.0,3.0,0.0
20.0,12.0,0.0
21.0,11.0,1.0
22.0,5.0,0.0
23.0,5.0,0.0
24.0,11.0,0.0
25.0,5.0,0.0
26.0,20.0,0.0
27.0,2.0,0.0
28.0,23.0,0.0
29.0,18.0,0.0
30.0,12.0,0.0
31.0,9.0,0.0
32.0,2.0,0.0
33.0,23.0,0.0
34.0,9.0,0.0
35.0,23.0,0.0
36.0,9.0,0.0
37.0,18.0,0.0
38.0,2.0,0.0
39.0,9.0,0.0
40.0,5.0,0.0
41.0,18.0,1.0
42.0,18.0,0.0
43.0,7.0,0.0
44.0,20.0,0.0
45.0,23.0,0.0
46.0,20.0,0.0
47.0,5.0,0.0
48.0,7.0,0.0
49.0,23.0,0.0
50.0,2.0,0.0
51.0,7.0,0.0
52.0,7.0,0.0
53.0,2.0,0.0
54.0,7.0,0.0
55.0,7.0,0.0
56.0,18.0,0.0
57.0,5.0,0.0
58.0,2.0,0.0
59.0,18.0,0.0
60.0,2.0,0.0
61.0,5.0,1.0
62.0,18.0,0.0
63.0,9.0,0.0
64.0,12.0,0.0
65.0,21.0,0.0
66.0,23.0,0.0
67.0,2.0,0.0
68.0,23.0,0.0
69.0,7.0,0.0
70.0,7.0,0.0
71.0,20.0,0.0
72.0,7.0,0.0
73.0,3.0,0.0
74.0,2.0,0.0
75.0,5.0,0.0
76.0,21.0,1.0
77.0,2.0,0.0
78.0,7.0,0.0
79.0,20.0,0.0
80.0,7.0,0.0
81.0,2.0,0.0
82.0,2.0,0.0
83.0,18.0,0.0
84.0,11.0,0.0
85.0,7.0,0.0
86.0,3.0,0.0
87.0,15.0,0.0
88.0,3.0,0.0
89.0,20.0,1.0
90.0,10.0,0.0
91.0,0.0,0.0
92.0,0.0,0.0
93.0,23.0,0.0
94.0,7.0,0.0
95.0,2.0,0.0
96.0,15.0,0.0
97.0,8.0,0.0
98.0,15.0,0.0
99.0,7.0,0.0
100.0,16.0,0.0
101.0,27.0,0.0
102.0,1.0,0.0
103.0,8.0,0.0
104.0,8.0,0.0
105.0,16.0,0.0
106.0,1.0,0.0
107.0,0.0,0.0
108.0,15.0,0.0
109.0,24.0,0.0
110.0,27.0,0.0
111.0,15.0,1.0
112.0,8.0,0.0
113.0,8.0,0.0
114.0,4.0,0.0
115.0,17.0,0.0
116.0,0.0,1.0
117.0,6.0,0.0
118.0,8.0,0.0
119.0,1.0,0.0
120.0,8.0,0.0
121.0,6.0,0.0
122.0,27.0,0.0
123.0,8.0,0.0
124.0,19.0,0.0
125.0,15.0,0.0
126.0,4.0,0.0
127.0,4.0,0.0
128.0,17.0,0.0
129.0,1.0,0.0
130.0,16.0,0.0
131.0,6.0,0.0
132.0,1.0,0.0
133.0,27.0,0.0
134.0,1.0,0.0
135.0,8.0,0.0
136.0,16.0,0.0
137.0,13.0,0.0
138.0,19.0,0.0
139.0,13.0,0.0
140.0,27.0,0.0
141.0,17.0,0.0
142.0,17.0,0.0
143.0,17.0,0.0
144.0,27.0,1.0
145.0,1.0,0.0
146.0,13.0,0.0
147.0,8.0,0.0
148.0,24.0,1.0
149.0,27.0,0.0
150.0,1.0,0.0
151.0,24.0,0.0
152.0,6.0,0.0
153.0,10.0,0.0
154.0,10.0,1.0
155.0,17.0,0.0
156.0,6.0,0.0
157.0,13.0,0.0
158.0,4.0,0.0
159.0,4.0,0.0
160.0,17.0,0.0
161.0,1.0,0.0
162.0,1.0,1.0
163.0,1.0,0.0
164.0,13.0,0.0
165.0,19.0,0.0
166.0,4.0,1.0
167.0,1.0,0.0
168.0,8.0,0.0
169.0,13.0,1.0
170.0,13.0,0.0
171.0,4.0,0.0
172.0,14.0,0.0
173.0,14.0,0.0
174.0,6.0,0.0
175.0,22.0,0.0
176.0,1.0,0.0
177.0,10.0,0.0
178.0,14.0,0.0
179.0,4.0,0.0
180.0,6.0,0.0
181.0,22.0,0.0
182.0,22.0,1.0
183.0,17.0,0.0
184.0,10.0,0.0
185.0,8.0,0.0
186.0,22.0,0.0
187.0,22.0,0.0
188.0,22.0,0.0
189.0,22.0,0.0
190.0,14.0,0.0
191.0,14.0,1.0
192.0,4.0,0.0
193.0,22.0,0.0
194.0,22.0,0.0
195.0,22.0,0.0
196.0,22.0,0.0
197.0,14.0,0.0
198.0,14.0,0.0
199.0,14.0,0.0
200.0,25.0,0.0
201.0,14.0,0.0
202.0,27.0,0.0
203.0,22.0,0.0
204.0,13.0,0.0
205.0,4.0,0.0
206.0,16.0,0.0
207.0,1.0,0.0
208.0,1.0,0.0
209.0,13.0,0.0
210.0,14.0,0.0
211.0,4.0,0.0
212.0,14.0,0.0
213.0,25.0,1.0
214.0,14.0,0.0
215.0,14.0,0.0
216.0,14.0,0.0
217.0,14.0,0.0
218.0,4.0,0.0
219.0,4.0,0.0
220.0,14.0,0.0
221.0,14.0,0.0
222.0,14.0,0.0
223.0,15.0,0.0
224.0,8.0,0.0
225.0,19.0,0.0
226.0,25.0,0.0
227.0,6.0,0.0
228.0,13.0,0.0
229.0,19.0,0.0
230.0,14.0,0.0
231.0,14.0,0.0
232.0,25.0,0.0
233.0,17.0,0.0
234.0,17.0,0.0
235.0,17.0,0.0
236.0,14.0,0.0
237.0,4.0,0.0
238.0,6.0,0.0
239.0,6.0,0.0
240.0,4.0,0.0
241.0,27.0,0.0
242.0,22.0,0.0
243.0,13.0,0.0
244.0,15.0,0.0
245.0,13.0,0.0
246.0,4.0,0.0
247.0,6.0,1.0
248.0,22.0,0.0
249.0,19.0,0.0
250.0,1.0,0.0
251.0,1.0,0.0
252.0,4.0,0.0
253.0,8.0,0.0
254.0,19.0,1.0
255.0,25.0,0.0
256.0,19.0,0.0
257.0,27.0,0.0
258.0,0.0,0.0
259.0,4.0,0.0
260.0,4.0,0.0
261.0,24.0,0.0
262.0,15.0,0.0
263.0,16.0,0.0
264.0,8.0,0.0
265.0,13.0,0.0
266.0,10.0,0.0
267.0,17.0,1.0
268.0,17.0,0.0
269.0,4.0,0.0
270.0,27.0,0.0
271.0,4.0,0.0
272.0,10.0,0.0
273.0,8.0,0.0
274.0,17.0,0.0
275.0,24.0,0.0
276.0,15.0,0.0
277.0,16.0,0.0
278.0,15.0,0.0
279.0,8.0,1.0
280.0,8.0,0.0
281.0,8.0,0.0
282.0,13.0,0.0
283.0,17.0,0.0
284.0,24.0,0.0
285.0,0.0,0.0
286.0,1.0,0.0
287.0,8.0,0.0
288.0,8.0,0.0
289.0,1.0,0.0
290.0,1.0,0.0
291.0,8.0,0.0
292.0,15.0,0.0
293.0,0.0,0.0
294.0,8.0,0.0
295.0,8.0,0.0
296.0,8.0,0.0
297.0,16.0,0.0
298.0,8.0,0.0
299.0,16.0,1.0
300.0,15.0,0.0
301.0,22.0,0.0
302.0,13.0,0.0
303.0,17.0,0.0
304.0,20.0,0.0
305.0,20.0,0.0
306.0,3.0,0.0
307.0,15.0,0.0
308.0,16.0,0.0
309.0,25.0,0.0
310.0,3.0,0.0
311.0,2.0,0.0
312.0,2.0,0.0
313.0,0.0,0.0
314.0,13.0,0.0
315.0,15.0,0.0
316.0,13.0,0.0
317.0,7.0,0.0
318.0,2.0,0.0
319.0,23.0,1.0
320.0,23.0,0.0
321.0,3.0,0.0
322.0,3.0,0.0
323.0,3.0,0.0
324.0,3.0,0.0
325.0,7.0,1.0
326.0,16.0,0.0
327.0,8.0,0.0
328.0,16.0,0.0
329.0,7.0,0.0
330.0,2.0,0.0
331.0,5.0,0.0
332.0,9.0,0.0
333.0,3.0,1.0
334.0,3.0,0.0
335.0,12.0,0.0
336.0,3.0,0.0
337.0,2.0,0.0
338.0,2.0,0.0
339.0,2.0,0.0
340.0,20.0,0.0
341.0,5.0,0.0
342.0,20.0,0.0
343.0,2.0,0.0
344.0,7.0,0.0
345.0,2.0,0.0
346.0,7.0,0.0
347.0,2.0,1.0
348.0,9.0,0.0
349.0,9.0,0.0
350.0,23.0,0.0
351.0,3.0,0.0
352.0,2.0,0.0
353.0,9.0,1.0
354.0,9.0,0.0
355.0,2.0,0.0
356.0,7.0,0.0
357.0,23.0,0.0
358.0,20.0,0.0
359.0,16.0,0.0
360.0,2.0,0.0
361.0,3.0,0.0
362.0,2.0,0.0
363.0,12.0,1.0
364.0,12.0,0.0
