Date,Cluster,Extreme Day,Medoid
1/1/2050,1,0,1
1/2/2050,2,0,1
1/3/2050,3,0,1
1/4/2050,4,0,1
1/5/2050,5,0,1
1/6/2050,6,0,1
1/7/2050,7,0,1
1/8/2050,8,0,1
1/9/2050,9,0,1
1/10/2050,10,0,1
1/11/2050,11,0,1
1/12/2050,12,0,1
1/13/2050,13,0,1
1/14/2050,14,0,1
1/15/2050,15,0,1
1/16/2050,16,0,1
1/17/2050,17,0,1
1/18/2050,18,0,1
1/19/2050,19,0,1
1/20/2050,20,0,1
1/21/2050,21,0,1
1/22/2050,22,0,1
1/23/2050,23,0,1
1/24/2050,24,0,1
1/25/2050,25,0,1
1/26/2050,26,0,1
1/27/2050,27,0,1
1/28/2050,28,0,1
1/29/2050,29,0,1
1/30/2050,30,0,1
1/31/2050,31,0,1
2/1/2050,32,0,1
2/2/2050,33,0,1
2/3/2050,34,0,1
2/4/2050,35,0,1
2/5/2050,36,0,1
2/6/2050,37,0,1
2/7/2050,38,0,1
2/8/2050,39,0,1
2/9/2050,40,0,1
2/10/2050,41,0,1
2/11/2050,42,0,1
2/12/2050,43,0,1
2/13/2050,44,0,1
2/14/2050,45,0,1
2/15/2050,46,0,1
2/16/2050,47,0,1
2/17/2050,48,0,1
2/18/2050,49,0,1
2/19/2050,50,0,1
2/20/2050,51,0,1
2/21/2050,52,0,1
2/22/2050,53,0,1
2/23/2050,54,0,1
2/24/2050,55,0,1
2/25/2050,56,0,1
2/26/2050,57,0,1
2/27/2050,58,0,1
2/28/2050,59,0,1
3/1/2050,60,0,1
3/2/2050,61,0,1
3/3/2050,62,0,1
3/4/2050,63,0,1
3/5/2050,64,0,1
3/6/2050,65,0,1
3/7/2050,66,0,1
3/8/2050,67,0,1
3/9/2050,68,0,1
3/10/2050,69,0,1
3/11/2050,70,0,1
3/12/2050,71,0,1
3/13/2050,72,0,1
3/14/2050,73,0,1
3/15/2050,74,0,1
3/16/2050,75,0,1
3/17/2050,76,0,1
3/18/2050,77,0,1
3/19/2050,78,0,1
3/20/2050,79,0,1
3/21/2050,80,0,1
3/22/2050,81,0,1
3/23/2050,82,0,1
3/24/2050,83,0,1
3/25/2050,84,0,1
3/26/2050,85,0,1
3/27/2050,86,0,1
3/28/2050,87,0,1
3/29/2050,88,0,1
3/30/2050,89,0,1
3/31/2050,90,0,1
4/1/2050,91,0,1
4/2/2050,92,0,1
4/3/2050,93,0,1
4/4/2050,94,0,1
4/5/2050,95,0,1
4/6/2050,96,0,1
4/7/2050,97,0,1
4/8/2050,98,0,1
4/9/2050,99,0,1
4/10/2050,100,0,1
4/11/2050,101,0,1
4/12/2050,102,0,1
4/13/2050,103,0,1
4/14/2050,104,0,1
4/15/2050,105,0,1
4/16/2050,106,0,1
4/17/2050,107,0,1
4/18/2050,108,0,1
4/19/2050,109,0,1
4/20/2050,110,0,1
4/21/2050,111,0,1
4/22/2050,112,0,1
4/23/2050,113,0,1
4/24/2050,114,0,1
4/25/2050,115,0,1
4/26/2050,116,0,1
4/27/2050,117,0,1
4/28/2050,118,0,1
4/29/2050,119,0,1
4/30/2050,120,0,1
5/1/2050,121,0,1
5/2/2050,122,0,1
5/3/2050,123,0,1
5/4/2050,124,0,1
5/5/2050,125,0,1
5/6/2050,126,0,1
5/7/2050,127,0,1
5/8/2050,128,0,1
5/9/2050,129,0,1
5/10/2050,130,0,1
5/11/2050,131,0,1
5/12/2050,132,0,1
5/13/2050,133,0,1
5/14/2050,134,0,1
5/15/2050,135,0,1
5/16/2050,136,0,1
5/17/2050,137,0,1
5/18/2050,138,0,1
5/19/2050,139,0,1
5/20/2050,140,0,1
5/21/2050,141,0,1
5/22/2050,142,0,1
5/23/2050,143,0,1
5/24/2050,144,0,1
5/25/2050,145,0,1
5/26/2050,146,0,1
5/27/2050,147,0,1
5/28/2050,148,0,1
5/29/2050,149,0,1
5/30/2050,150,0,1
5/31/2050,151,0,1
6/1/2050,152,0,1
6/2/2050,153,0,1
6/3/2050,154,0,1
6/4/2050,155,0,1
6/5/2050,156,0,1
6/6/2050,157,0,1
6/7/2050,158,0,1
6/8/2050,159,0,1
6/9/2050,160,0,1
6/10/2050,161,0,1
6/11/2050,162,0,1
6/12/2050,163,0,1
6/13/2050,164,0,1
6/14/2050,165,0,1
6/15/2050,166,0,1
6/16/2050,167,0,1
6/17/2050,168,0,1
6/18/2050,169,0,1
6/19/2050,170,0,1
6/20/2050,171,0,1
6/21/2050,172,0,1
6/22/2050,173,0,1
6/23/2050,174,0,1
6/24/2050,175,0,1
6/25/2050,176,0,1
6/26/2050,177,0,1
6/27/2050,178,0,1
6/28/2050,179,0,1
6/29/2050,180,0,1
6/30/2050,181,0,1
7/1/2050,182,0,1
7/2/2050,183,0,1
7/3/2050,184,0,1
7/4/2050,185,0,1
7/5/2050,186,0,1
7/6/2050,187,0,1
7/7/2050,188,0,1
7/8/2050,189,0,1
7/9/2050,190,0,1
7/10/2050,191,0,1
7/11/2050,192,0,1
7/12/2050,193,0,1
7/13/2050,194,0,1
7/14/2050,195,0,1
7/15/2050,196,0,1
7/16/2050,197,0,1
7/17/2050,198,0,1
7/18/2050,199,0,1
7/19/2050,200,0,1
7/20/2050,201,0,1
7/21/2050,202,0,1
7/22/2050,203,0,1
7/23/2050,204,0,1
7/24/2050,205,0,1
7/25/2050,206,0,1
7/26/2050,207,0,1
7/27/2050,208,0,1
7/28/2050,209,0,1
7/29/2050,210,0,1
7/30/2050,211,0,1
7/31/2050,212,0,1
8/1/2050,213,0,1
8/2/2050,214,0,1
8/3/2050,215,0,1
8/4/2050,216,0,1
8/5/2050,217,0,1
8/6/2050,218,0,1
8/7/2050,219,0,1
8/8/2050,220,0,1
8/9/2050,221,0,1
8/10/2050,222,0,1
8/11/2050,223,0,1
8/12/2050,224,0,1
8/13/2050,225,0,1
8/14/2050,226,0,1
8/15/2050,227,0,1
8/16/2050,228,0,1
8/17/2050,229,0,1
8/18/2050,230,0,1
8/19/2050,231,0,1
8/20/2050,232,0,1
8/21/2050,233,0,1
8/22/2050,234,0,1
8/23/2050,235,0,1
8/24/2050,236,0,1
8/25/2050,237,0,1
8/26/2050,238,0,1
8/27/2050,239,0,1
8/28/2050,240,0,1
8/29/2050,241,0,1
8/30/2050,242,0,1
8/31/2050,243,0,1
9/1/2050,244,0,1
9/2/2050,245,0,1
9/3/2050,246,0,1
9/4/2050,247,0,1
9/5/2050,248,0,1
9/6/2050,249,0,1
9/7/2050,250,0,1
9/8/2050,251,0,1
9/9/2050,252,0,1
9/10/2050,253,0,1
9/11/2050,254,0,1
9/12/2050,255,0,1
9/13/2050,256,0,1
9/14/2050,257,0,1
9/15/2050,258,0,1
9/16/2050,259,0,1
9/17/2050,260,0,1
9/18/2050,261,0,1
9/19/2050,262,0,1
9/20/2050,263,0,1
9/21/2050,264,0,1
9/22/2050,265,0,1
9/23/2050,266,0,1
9/24/2050,267,0,1
9/25/2050,268,0,1
9/26/2050,269,0,1
9/27/2050,270,0,1
9/28/2050,271,0,1
9/29/2050,272,0,1
9/30/2050,273,0,1
10/1/2050,274,0,1
10/2/2050,275,0,1
10/3/2050,276,0,1
10/4/2050,277,0,1
10/5/2050,278,0,1
10/6/2050,279,0,1
10/7/2050,280,0,1
10/8/2050,281,0,1
10/9/2050,282,0,1
10/10/2050,283,0,1
10/11/2050,284,0,1
10/12/2050,285,0,1
10/13/2050,286,0,1
10/14/2050,287,0,1
10/15/2050,288,0,1
10/16/2050,289,0,1
10/17/2050,290,0,1
10/18/2050,291,0,1
10/19/2050,292,0,1
10/20/2050,293,0,1
10/21/2050,294,0,1
10/22/2050,295,0,1
10/23/2050,296,0,1
10/24/2050,297,0,1
10/25/2050,298,0,1
10/26/2050,299,0,1
10/27/2050,300,0,1
10/28/2050,301,0,1
10/29/2050,302,0,1
10/30/2050,303,0,1
10/31/2050,304,0,1
11/1/2050,305,0,1
11/2/2050,306,0,1
11/3/2050,307,0,1
11/4/2050,308,0,1
11/5/2050,309,0,1
11/6/2050,310,0,1
11/7/2050,311,0,1
11/8/2050,312,0,1
11/9/2050,313,0,1
11/10/2050,314,0,1
11/11/2050,315,0,1
11/12/2050,316,0,1
11/13/2050,317,0,1
11/14/2050,318,0,1
11/15/2050,319,0,1
11/16/2050,320,0,1
11/17/2050,321,0,1
11/18/2050,322,0,1
11/19/2050,323,0,1
11/20/2050,324,0,1
11/21/2050,325,0,1
11/22/2050,326,0,1
11/23/2050,327,0,1
11/24/2050,328,0,1
11/25/2050,329,0,1
11/26/2050,330,0,1
11/27/2050,331,0,1
11/28/2050,332,0,1
11/29/2050,333,0,1
11/30/2050,334,0,1
12/1/2050,335,0,1
12/2/2050,336,0,1
12/3/2050,337,0,1
12/4/2050,338,0,1
12/5/2050,339,0,1
12/6/2050,340,0,1
12/7/2050,341,0,1
12/8/2050,342,0,1
12/9/2050,343,0,1
12/10/2050,344,0,1
12/11/2050,345,0,1
12/12/2050,346,0,1
12/13/2050,347,0,1
12/14/2050,348,0,1
12/15/2050,349,0,1
12/16/2050,350,0,1
12/17/2050,351,0,1
12/18/2050,352,0,1
12/19/2050,353,0,1
12/20/2050,354,0,1
12/21/2050,355,0,1
12/22/2050,356,0,1
12/23/2050,357,0,1
12/24/2050,358,0,1
12/25/2050,359,0,1
12/26/2050,360,0,1
12/27/2050,361,0,1
12/28/2050,362,0,1
12/29/2050,363,0,1
12/30/2050,364,0,1
12/31/2050,365,0,1
